rank_by_net_margin,company,ticker,revenue_m,operating_margin_pct,net_margin_pct,revenue_cagr_22_24_pct
1,Netflix,NFLX,39000.966,26.7,22.3,11.1
2,Disney,DIS,91360.0,13.0,5.4,5.1
3,Paramount Global,PARA,29213.0,-18.0,-21.2,-1.6
4,Warner Bros. Discovery,WBD,39321.0,-25.5,-28.8,7.8
